seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
1703,4,autoregressive_lead2,Vi,k4_5,20,25,0.316047906876039,0.042478203511596015
1703,4,autoregressive_lead2,Ne,k6_7,30,35,0.25951035831367897,0.0033145754397359874
1703,4,autoregressive_lead2,Pe,k6_7,30,35,0.20935782239016773,0.0033291947525622826
1703,4,autoregressive_lead2,Pi,k6_7,30,35,0.20014832478038527,0.0034507584816171125
1703,4,autoregressive_lead2,phi,k6_7,30,35,0.2861160213309958,0.0012690409588407676
1703,4,autoregressive_lead2,Vi,k6_7,30,35,0.177936865605933,3.356592745177979e-05
1701,4,direct,Ne,k1_3,5,15,0.22257067324565344,0.0708656479313954
1701,4,direct,Pe,k1_3,5,15,0.24111920874513468,0.03009301717939927
1701,4,direct,Pi,k1_3,5,15,0.206021610429595,0.03502966546784229
1701,4,direct,phi,k1_3,5,15,0.26082717686169343,0.03750294935050837
1701,4,direct,Vi,k1_3,5,15,0.1862691462161752,0.01185144613399275
1701,4,direct,Ne,k4_5,20,25,0.2592371387584387,0.15244066456490601
1701,4,direct,Pe,k4_5,20,25,0.23093623985583367,0.17517886543915095
1701,4,direct,Pi,k4_5,20,25,0.23108638880613933,0.16451927134925542
1701,4,direct,phi,k4_5,20,25,0.2745271657543925,0.13283339830345472
1701,4,direct,Vi,k4_5,20,25,0.2054158590351226,0.008193862350874737
1701,4,direct,Ne,k6_7,30,35,0.1819789179212569,0.0021963754964902183
1701,4,direct,Pe,k6_7,30,35,0.17814368585232787,0.0022723216622518804
1701,4,direct,Pi,k6_7,30,35,0.1723616818066179,0.0017538790808987244
1701,4,direct,phi,k6_7,30,35,0.2952737517633512,0.000981348939582569
1701,4,direct,Vi,k6_7,30,35,0.21263319126109392,1.5154734562104168e-05
1702,4,direct,Ne,k1_3,5,15,0.21121981309348342,0.053089574657400274
1702,4,direct,Pe,k1_3,5,15,0.22024574698637642,0.025641123009105968
1702,4,direct,Pi,k1_3,5,15,0.18061005756098641,0.030324056097487544
1702,4,direct,phi,k1_3,5,15,0.2521149415902429,0.03446739927406732
