seed,horizon_frames,method,pair,band,n_low,n_high,phase_error_degrees,absolute_coherence_change
1702,8,autoregressive_lead2,Pe-phi,k1_3,5,15,7.074992780425966,0.2652555160299823
1702,8,autoregressive_lead2,Pi-phi,k1_3,5,15,4.58913964289903,0.2738466269936036
1702,8,autoregressive_lead2,Ne-phi,k4_5,20,25,1.5397612028369076,0.04416797460297103
1702,8,autoregressive_lead2,Pe-phi,k4_5,20,25,5.29802498638391,0.1192091042886389
1702,8,autoregressive_lead2,Pi-phi,k4_5,20,25,3.4225986719695833,0.06544359512557811
1702,8,autoregressive_lead2,Ne-phi,k6_7,30,35,2.782191783777586,0.2067060522368702
1702,8,autoregressive_lead2,Pe-phi,k6_7,30,35,1.706595406067922,0.20736671220304168
1702,8,autoregressive_lead2,Pi-phi,k6_7,30,35,3.761569962584113,0.1859631432134043
1703,8,autoregressive_lead2,Ne-phi,k1_3,5,15,3.9772809005902525,0.2614818153479822
1703,8,autoregressive_lead2,Pe-phi,k1_3,5,15,13.852898710799975,0.20729954955970345
1703,8,autoregressive_lead2,Pi-phi,k1_3,5,15,7.207890453533237,0.20359192639622128
1703,8,autoregressive_lead2,Ne-phi,k4_5,20,25,2.8122701215606223,0.026112514726412475
1703,8,autoregressive_lead2,Pe-phi,k4_5,20,25,6.614914946714132,0.15038642765077864
1703,8,autoregressive_lead2,Pi-phi,k4_5,20,25,4.595143618836316,0.06441443679292973
1703,8,autoregressive_lead2,Ne-phi,k6_7,30,35,3.7735600626104833,0.17408156189506155
1703,8,autoregressive_lead2,Pe-phi,k6_7,30,35,4.663193724353302,0.18624994855123292
1703,8,autoregressive_lead2,Pi-phi,k6_7,30,35,6.552748768133263,0.19023443485466948
1701,8,autoregressive_lead4,Ne-phi,k1_3,5,15,7.023250350410158,0.3468034494318185
1701,8,autoregressive_lead4,Pe-phi,k1_3,5,15,13.825854062901808,0.32266250899961074
1701,8,autoregressive_lead4,Pi-phi,k1_3,5,15,4.162381428777334,0.36170178815262893
