seed,horizon_frames,method,quantity,reduction,relative_l2,normalized_bias,rms_ratio,pearson_correlation,weighted_sign_disagreement
1701,8,autoregressive_lead2,particle,strict_faces,1.2657605872542912,-0.007089743380481838,0.8552694986441267,0.07547306573801678,0.4677630099299185
1701,8,autoregressive_lead2,particle,separatrix,0.5617698047714083,-0.4493907153021764,0.5349844852147253,0.24127308420289445,0.0
1701,8,autoregressive_lead2,electron_internal_energy,strict_faces,1.2671510039866958,-0.012040868902382484,0.8641388115861453,0.0812058336968829,0.4658276400688721
1701,8,autoregressive_lead2,electron_internal_energy,separatrix,0.5295942573702856,-0.418561738863199,0.5614930868160506,0.3368921727754677,0.0
1701,8,autoregressive_lead2,ion_internal_energy,strict_faces,1.266100258110838,-0.012375713367737594,0.8595174492626252,0.0786722689387892,0.46681988371386185
1701,8,autoregressive_lead2,ion_internal_energy,separatrix,0.5275211450734624,-0.38959823840281443,0.6015735467602218,0.24238559356719958,0.0
1701,8,autoregressive_lead2,total_internal_energy,strict_faces,1.2669320855161574,-0.012250228324237927,0.8623849336582189,0.07999658308992368,0.46635196218504676
1701,8,autoregressive_lead2,total_internal_energy,separatrix,0.5246761729910863,-0.4059152572395076,0.5785849542909864,0.29992676389043893,0.0
1702,8,autoregressive_lead2,particle,strict_faces,1.3079383363709052,-0.00523845295892568,0.8180691161684552,-0.025541242660404237,0.49814118088256876
1702,8,autoregressive_lead2,particle,separatrix,0.5616654381555022,-0.35293175794482645,0.6873029272303706,0.15511295634165057,0.0
1702,8,autoregressive_lead2,electron_internal_energy,strict_faces,1.2968521720869721,-0.012357032481264886,0.8054915934927951,-0.020979811157947986,0.5003611327617402
1702,8,autoregressive_lead2,electron_internal_energy,separatrix,0.5727137369676437,-0.4704748361939106,0.5228251611944823,0.35899203058804724,0.0
1702,8,autoregressive_lead2,ion_internal_energy,strict_faces,1.3051068945101176,-0.011625938115422578,0.8143935500397128,-0.024983393544446626,0.49940294871145713
1702,8,autoregressive_lead2,ion_internal_energy,separatrix,0.555936033706088,-0.4111051899358027,0.5846995156150202,0.17121741277653038,0.0
1702,8,autoregressive_lead2,total_internal_energy,strict_faces,1.3015287215339566,-0.012011336106029539,0.8105017479253452,-0.02330038539771287,0.4998410157240998
1702,8,autoregressive_lead2,total_internal_energy,separatrix,0.560678450921288,-0.4440850437562615,0.5491254624337799,0.27907307860948716,0.0
1703,8,autoregressive_lead2,particle,strict_faces,1.3721487147839573,5.337870906495706e-05,1.030070262041174,0.08631225581421978,0.46434393542790964
1703,8,autoregressive_lead2,particle,separatrix,0.45623332765532104,0.0044151278993477885,1.0484135142492446,0.32387227441007693,0.0
1703,8,autoregressive_lead2,electron_internal_energy,strict_faces,1.3451688734154128,-0.004499484014363716,0.9967559217965206,0.09177866052834369,0.46168054930766034
1703,8,autoregressive_lead2,electron_internal_energy,separatrix,0.38636635055805085,-0.05060882366189436,0.9635249517601936,0.39375461146499546,0.0
1703,8,autoregressive_lead2,ion_internal_energy,strict_faces,1.3681484911945505,-0.005986884241511601,1.0268536499102172,0.08852201687292285,0.4631999219153158
1703,8,autoregressive_lead2,ion_internal_energy,separatrix,0.4209465046878932,-0.024942934149405974,1.0018370639067067,0.3487552230439069,0.0
1703,8,autoregressive_lead2,total_internal_energy,strict_faces,1.3572283954679314,-0.005288246749772094,1.0127691240821013,0.09019661485639509,0.46248075402508193
1703,8,autoregressive_lead2,total_internal_energy,separatrix,0.38973289822988055,-0.03901624739506842,0.9788302204743025,0.3901500025553926,0.0
1701,8,autoregressive_lead4,particle,strict_faces,1.08647706682414,-0.013404566349136811,0.44147989933919385,0.016321254722773793,0.4863479864786475
1701,8,autoregressive_lead4,particle,separatrix,0.9352989545842046,-0.8752217753521793,0.08137475277396232,-0.07653918543027712,0.0
1701,8,autoregressive_lead4,electron_internal_energy,strict_faces,1.1067216169368783,-0.024870735004785892,0.4909583514023661,0.016408232882431262,0.4869776435765201
1701,8,autoregressive_lead4,electron_internal_energy,separatrix,0.9438471828734846,-0.88084573991278,0.07531094261577441,-0.1130879094623807,0.005326690646779901
1701,8,autoregressive_lead4,ion_internal_energy,strict_faces,1.0952555290231492,-0.02187590478267322,0.4637993941366615,0.0166206971972485,0.4868240395337256
1701,8,autoregressive_lead4,ion_internal_energy,separatrix,0.9201486506835912,-0.8573998967551959,0.09951203423103494,0.004025985145798871,0.0
